用例ID,SDD章节,用例标题,用例类型,优先级,前置条件,测试步骤,预期结果,真机环境/工具
TC04-01,§4/§7.2,正常连接迁移链完整上报,功能,P0,1 台 Android 手机 + mock 服务器 + 1 台 DUT；DUT 上电可连,"1) 服务器下发 CONNECT_DEVICE
2) 观察 DEVICE_STATE 事件序列",依次上报 WAITING_SLOT→CONNECTING→SERVICE_DISCOVERING→CONFIGURING→READY；READY 在 connectTimeoutMs(10s) 内到达；CMD_ACK errorCode=0,正常环境
TC04-02,§4.1,非法迁移被拦截,异常,P1,1 台 Android 手机 + mock 服务器 + 1 台 DUT；需 Agent 内置故障注入/debug 接口,"1) 设备 CONNECTING 期间注入 GATT 回调乱序/直接置 READY 的非法事件
2) 观察日志",状态机抛 IllegalStateException 且被捕获记录；不出现 4.1 表外迁移；无未捕获崩溃,需 Agent 内置故障注入/debug 接口
TC04-03,§4.1/§7.7,ERROR→TERMINATED 迁移,功能,P1,1 台 Android 手机 + mock 服务器 + 1 台 DUT；DUT 关机使其不可连,"1) 等设备重连失败进入 ERROR
2) 服务器下发 REMOVE_DEVICE",DEVICE_STATE(state=TERMINATED) 上报；设备从注册表消失,DUT 可远程断电
TC04-04,§4.1/§7.7,PAUSED 阻断一切调度,功能,P0,1 台 Android 手机 + mock 服务器 + 3 台 DUT,"1) PAUSE_DEVICE 一台设备
2) 等其轮询到期
3) 观察槽位分配",PAUSED 设备不申请/不获得槽位；其余设备调度不受影响,
TC04-05,§4.1/§7.2,重发 CONNECT_DEVICE 恢复 ERROR 设备,功能,P1,1 台 Android 手机 + mock 服务器 + 1 台 DUT；设备已处 ERROR,"1) 恢复 DUT 供电
2) 服务器重发 CONNECT_DEVICE",设备经 ERROR→REGISTERED→…→READY；重连计数清零；CMD_ACK errorCode=0,
TC04-06,§4.1/§12.10,蓝牙关闭的批量迁移合法性,异常,P0,1 台 Android 手机 + mock 服务器 + 3 台 DUT；1 台已 READY、1 台 PAUSED、1 台 REGISTERED,"1) 手机关闭蓝牙
2) 观察各设备状态与事件
3) 重新打开蓝牙",仅连接态/连接中设备迁 DISCONNECTED 且槽位全释放；PAUSED/REGISTERED 设备状态不变；无非法迁移异常；恢复后按欠账重建调度,
TC05-01,§5.2,槽位上限硬约束,功能,P0,1 台 Android 手机 + mock 服务器 + 6 台 DUT；maxSlots=3、轮询间隔 30s,"1) 等 6 台全部轮询到期
2) 观察 TOPOLOGY/CONNECTION_SLOT_* 事件",任意时刻在线 ≤3 台；槽位获取/释放事件成对出现,
TC05-02,§5.2 第2条,高优先级命令抢占,功能,P0,1 台 Android 手机 + mock 服务器 + 3 台 DUT；3 台均 READY 空闲、槽满,"1) 对未连接的第 4 台下发 WRITE_CHAR
2) 观察踢出选择",最久空闲且无任务的设备被踢（DISCONNECTED 保留队列）；新设备获槽执行命令并回 CMD_ACK,第 4 台 DUT
TC05-03,§5.2 第5条,冷却防抖,功能,P1,1 台 Android 手机 + mock 服务器 + 3 台 DUT；cooldownMs=5000,"1) 制造抢占使设备 A 被踢
2) 5s 内观察 A 是否立即重新获槽",coolDownUntil 内 A 不获槽；冷却结束后按欠账正常获槽,
TC05-04,§5.2 第6条/§14.3,欠账老化防饿死,异常,P0,1 台 Android 手机 + mock 服务器 + 3 台 DUT；agingThresholdMs=30s,"1) 服务器持续对一台空闲设备洪泛 HIGH 命令占满槽位
2) 另一台轮询欠账等待
3) 记录获槽时间",轮询欠账最晚 2×agingThresholdMs(60s) 内获槽；日志可见有效优先级提升,
TC05-05,§5.2 第1条,常驻设备不被驱逐,功能,P1,1 台 Android 手机 + mock 服务器 + 6 台 DUT；SET_PERSISTENT_DEVICE 指定 A,"1) A 常驻后制造多轮抢占与空闲超时
2) 长跑 2h",A 始终持槽；selectVictim 从不选中 A；其余槽正常轮转,
TC05-06,§5.4,调大槽位立即补位,功能,P1,1 台 Android 手机 + mock 服务器 + 6 台 DUT；maxSlots 3→5,"1) 运行中下发 SET_MAX_CONNECTIONS(5)
2) 观察等待队列",新槽立即生效；等待队列按优先级补位；CMD_ACK errorCode=0,
TC05-07,§5.4,调小槽位按序驱逐,功能,P1,1 台 Android 手机 + mock 服务器 + 6 台 DUT；maxSlots 5→2,"1) 5 台在线（含 1 常驻）
2) 下发 SET_MAX_CONNECTIONS(2)",按 空闲非常驻→可延迟任务 顺序驱逐；最终在线=2；被踢设备保留欠账,
TC05-08,§5.4/§12.9,驱逐失败拒绝调整,异常,P1,maxSlots=3 且常驻+pinned=2；1 台文件传输中,1) 下发 SET_MAX_CONNECTIONS(1),拒绝调整、已连状态不变；CMD_ACK errorCode=3003 且报文带 required=2/max=1,含传输任务
TC05-09,§5.4/§12.9,槽位参数越界,异常,P2,,1) 分别下发 SET_MAX_CONNECTIONS(1) 与 (6),均回 3003，不归入 2001 协议错误；配置不变,
TC06-01,§6.1,虚拟轮询计划与欠账补采,功能,P0,1 台 Android 手机 + mock 服务器 + 6 台 DUT；maxSlots=2、intervalMs=30s,"1) 6 台到期仅 2 槽
2) 观察未获槽设备后续行为",未连接设备到期记欠账（不丢失）；获槽后补采并更新 nextPollTime,
TC06-02,§6.1,欠账防重入,功能,P1,1 台 Android 手机 + mock 服务器 + 1 台 DUT；人为阻塞 GATT 回调（故障注入）,"1) 轮询任务执行中跨过多个 tick 与下一个到期点
2) 检查 pendingCommands",同设备轮询任务不重复堆积；队列中同设备 PollingTask ≤1,需 Agent 内置故障注入/debug 接口
TC06-03,§6.2/§6.4,一轮时长符合公式,性能,P0,1 台 Android 手机 + mock 服务器 + 20 台 DUT（可用其余手机+nRF Connect 模拟）；maxSlots=4(1 常驻+3 动态)、时间片 2s、setupBudgetMs=4s,"1) 运行一轮完整轮询
2) 实测一轮耗时",一轮 ≈ ceil(19/3)×(4+2)=42s 量级；≤ 公式×1.2（§14.3 基线）,秒表/日志统计
TC06-04,§6.4,intervalMs 小于一轮时长的退化告警,功能,P2,1 台 Android 手机 + mock 服务器 + 6 台 DUT；故意配 intervalMs=10s（一轮约 12s）,"1) 下发过小 intervalMs
2) 观察日志与 stale 标记",出现告警日志；实际频率退化为一轮一次；数据持续带 stale 标记,
TC06-05,§6.4/§16.4,tick 周期钳制,功能,P1,配置最小 intervalMs=200ms、tickIntervalMs=200,"1) 启动 Agent
2) 观察告警与生效 tick",告警日志出现；tick 被钳制到 100ms（min/2）；200ms 间隔设备实际轮询周期 ≈200ms,
TC06-06,§6.1,stale 清除时机唯一,功能,P1,1 台 Android 手机 + mock 服务器 + 1 台 DUT；使设备长期未获槽（stale=true）,"1) 设备获槽并 READY 但不执行轮询（注入跳过）
2) 随后正常轮询一轮",仅获槽/命令执行不清除 stale；完整轮询走完 onPollCompleted 后 stale=false,需 Agent 内置故障注入/debug 接口
TC06-07,§6.1,轮询周期自完成起算,功能,P2,1 台 Android 手机 + mock 服务器 + 1 台 DUT；intervalMs=30s,1) 记录连续 5 轮的完成时间与 nextPollTime,nextPollTime=完成时刻+30s；长时间运行无任务堆积漂移,
TC07-01,§7.1,冷启动注册流程,功能,P0,1 台 Android 手机 + mock 服务器；服务器在线,"1) 启动 Agent
2) 观察 REGISTER 与 REGISTER_ACK",REGISTER 携带 deviceId/ip/port/androidSdk/bleSupported/maxConnections/agentVersion/token（附录 A.3）；收到配置后设备全部 REGISTERED、不主动连接,
TC07-02,§7.2,CONNECT_DEVICE 即时连接语义,功能,P0,1 台 Android 手机 + mock 服务器 + 1 台 DUT,"1) 下发 CONNECT_DEVICE(lazyConnect 缺省)
2) 等待结果",设备作为 HIGH 需求立即获槽连接；ACK 在 READY 后返回、语义为'已就绪',
TC07-03,§7.2,CONNECT_DEVICE 幂等,功能,P1,1 台 Android 手机 + mock 服务器 + 1 台 DUT；设备已 READY,1) 重复下发 3 次 CONNECT_DEVICE,不重复创建 Controller；注册表同 MAC 仅 1 条；每次都回 CMD_ACK 成功,
TC07-04,§7.2,lazyConnect 仅注册,功能,P2,1 台 Android 手机 + mock 服务器 + 1 台 DUT,"1) 下发 CONNECT_DEVICE(lazyConnect=true)
2) 观察 1 分钟",设备停留 REGISTERED 不连接；待轮询到期或新命令才触发连接,
TC07-05,§7.3.1,先写后读复杂轮询,功能,P1,1 台 Android 手机 + mock 服务器 + 1 台 DUT；DUT 固件支持 写请求码→读响应 特征对,"1) 配置含 WRITE+READ 的 PollingTask
2) 等一轮轮询",PollStep 按序串行；任一步失败重试一次后中止并上报错误；POLL_RESULT 字段组合正确,
TC07-06,§7.3.2,规则命中触发动作,功能,P0,1 台 Android 手机 + mock 服务器 + 1 台 DUT；DUT 可上报温度；SET_POLL_RULES 下发温度分档规则,"1) 使 DUT 温度 >40℃
2) 观察事件与轮询间隔",本地求值（不经服务器往返）；REPORT_EVENT(TEMP_CRITICAL) 上报；SET_INTERVAL 生效，间隔变为 5s,热风枪/恒温箱
TC07-07,§7.3.2,priority 与 stopOnMatch 语义,功能,P1,1 台 Android 手机 + mock 服务器 + 1 台 DUT；配置 20/40℃ 两档规则,"1) 温度 42℃（stopOnMatch=false）
2) 改配 stopOnMatch=true 后复测",false 时 TEMP_WARN 与 TEMP_CRITICAL 都上报；true 时仅高优先级档上报,
TC07-08,§7.3.2,SET_DEVICE_STATE 只写业务标记,功能,P1,1 台 Android 手机 + mock 服务器 + 1 台 DUT；配置命中后 SET_DEVICE_STATE=OVERTEMP 的规则,"1) 触发规则
2) GET_STATUS 查看设备",stateFlag=OVERTEMP；DeviceState 状态机状态不被修改,
